csv_path,total_rows,driving_rows,non_moving_rows,fault_rows,normal_rows,label
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-07-12/2025_07_12-01.csv,10779,6975,3804,451,6524,has_faults
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-07-12/2025_07_12-05.csv,5079,2681,2398,19,2662,has_faults
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-07-12/2025_07_12-06.csv,14139,2300,11839,58,2242,has_faults
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-07-12/2025_07_12-08.csv,7239,1555,5684,220,1335,has_faults
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-07-12/2025_07_12-09.csv,4959,2349,2610,356,1993,has_faults
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-07-26/2025_07_26-04.csv,16419,11181,5238,255,10926,has_faults
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-08-01/2025_08_01-03.csv,5679,2686,2993,411,2275,has_faults
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-06-14/2025_06_14-03.csv,34819,23591,11228,0,23591,no_faults
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-06-21/2025_06_21-01.csv,37179,36347,832,0,36347,no_faults
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-07-12/2025_07_12-02.csv,16599,6773,9826,0,6773,no_faults
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-07-12/2025_07_12-03.csv,14279,10917,3362,0,10917,no_faults
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-07-12/2025_07_12-04.csv,9019,2019,7000,0,2019,no_faults
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-07-12/2025_07_12-10.csv,1879,1301,578,0,1301,no_faults
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-07-26/2025_07_26-01.csv,12179,6641,5538,0,6641,no_faults
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-07-26/2025_07_26-03.csv,15039,5902,9137,0,5902,no_faults
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-08-01/2025_08_01-01.csv,7119,4196,2923,0,4196,no_faults
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-08-01/2025_08_01-02.csv,5239,1653,3586,0,1653,no_faults
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-06-14/2025_06_14-01.csv,1439,0,1439,0,0,empty_after_filter
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-06-14/2025_06_14-02.csv,1459,0,1459,0,0,empty_after_filter
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-06-14/2025_06_14-04.csv,2379,0,2379,0,0,empty_after_filter
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-07-12/2025_07_12-07.csv,19019,0,19019,0,0,empty_after_filter
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-07-26/2025_07_26-02.csv,17899,0,17899,0,0,empty_after_filter
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-07-26/2025_07_26-05.csv,3779,0,3779,0,0,empty_after_filter
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-07-26/2025_07_26-06.csv,1659,0,1659,0,0,empty_after_filter
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-07-26/2025_07_26-07.csv,1159,0,1159,0,0,empty_after_filter
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-08-01/2025_08_01-04.csv,759,0,759,0,0,empty_after_filter
/Users/jobegoetz/Documents/GitHub/sdp-team19-anomaly-detection/test-data/2025-08-01/2025_08_01-05.csv,2499,0,2499,0,0,empty_after_filter
